256	256
23
187.1779661016949	148.21018998346284	228.78524374176547	148.2293056686921	6	0
111.88206845238095	9.022679172679172	111.88206845238095	86.70059121621622	1	3
145.72479838709677	115.91070664269817	145.72479838709677	148.21018998346284	6	2
145.72479838709677	115.91070664269817	187.1779661016949	115.91070664269817	1	6
9.650690816208057	88.43426573426574	9.650690816208057	148.21018998346284	4	0
79.20286993840513	86.70059121621622	79.20286993840513	148.21018998346284	2	8
9.650690816208057	88.43426573426574	49.88120675620676	88.43426573426574	3	4
79.20286993840513	86.70059121621622	111.88206845238095	86.70059121621622	3	2
9.650690816208057	9.022679172679172	9.650690816208057	88.43426573426574	3	0
79.20286993840513	68.25674019607843	79.20286993840513	86.70059121621622	6	9
79.20286993840513	148.21018998346284	145.72479838709677	148.21018998346284	2	0
49.88120675620676	148.21018998346284	79.20286993840513	148.21018998346284	8	0
145.72479838709677	148.21018998346284	187.1779661016949	148.21018998346284	6	0
9.650690816208057	148.21018998346284	49.88120675620676	148.21018998346284	4	0
49.88120675620676	88.43426573426574	49.88120675620676	148.21018998346284	8	4
187.1779661016949	115.91070664269817	228.78524374176547	115.91070664269817	1	6
228.78524374176547	115.91070664269817	228.78524374176547	148.2293056686921	0	6
49.88120675620676	68.25674019607843	49.88120675620676	88.43426573426574	9	3
228.78524374176547	9.022679172679172	228.78524374176547	115.91070664269817	0	1
49.88120675620676	68.25674019607843	79.20286993840513	68.25674019607843	3	9
187.1779661016949	115.91070664269817	187.1779661016949	148.21018998346284	6	6
111.88206845238095	9.022679172679172	228.78524374176547	9.022679172679172	0	1
9.650690816208057	9.022679172679172	111.88206845238095	9.022679172679172	0	3
147.88	115.0	170.27906976744185	115.0	door	1	1
204.08474576271186	115.0	227.5	115.0	door	1	1
147.88	115.0	227.5	115.0	door	1	1
171.58823529411765	115.0	227.5	115.0	door	1	1
111.0	10.350877192982455	111.0	66.6969696969697	door	1	1
228.0	15.448275862068966	228.0	50.74074074074074	door	1	1
228.0	15.448275862068966	228.0	93.94642857142857	door	1	1
228.0	15.448275862068966	228.0	140.66037735849056	door	1	1
9.0	17.30188679245283	9.0	70.67241379310344	door	1	1
228.0	59.25	228.0	93.94642857142857	door	1	1
228.0	59.25	228.0	140.66037735849056	door	1	1
228.0	80.5813953488372	228.0	93.94642857142857	door	1	1
228.0	80.5813953488372	228.0	140.66037735849056	door	1	1
79.0	89.12162162162163	79.0	128.62121212121212	door	1	1
49.0	89.93103448275862	49.0	113.19047619047619	door	1	1
228.0	120.25806451612904	228.0	140.66037735849056	door	1	1
204.08474576271186	115.0	227.5	115.0	door	1	1
147.88	115.0	170.27906976744185	115.0	door	1	1
147.88	115.0	227.5	115.0	door	1	1
171.58823529411765	115.0	227.5	115.0	door	1	1
228.0	15.448275862068966	228.0	50.74074074074074	door	1	1
111.0	10.350877192982455	111.0	66.6969696969697	door	1	1
9.0	17.30188679245283	9.0	70.67241379310344	door	1	1
228.0	15.448275862068966	228.0	93.94642857142857	door	1	1
228.0	59.25	228.0	93.94642857142857	door	1	1
228.0	80.5813953488372	228.0	93.94642857142857	door	1	1
49.0	89.93103448275862	49.0	113.19047619047619	door	1	1
79.0	89.12162162162163	79.0	128.62121212121212	door	1	1
228.0	15.448275862068966	228.0	140.66037735849056	door	1	1
228.0	59.25	228.0	140.66037735849056	door	1	1
228.0	80.5813953488372	228.0	140.66037735849056	door	1	1
228.0	120.25806451612904	228.0	140.66037735849056	door	1	1
111.0	11	111.0	70	door	1	1
228.0	15	228.0	51	door	1	1
9.0	16	9.0	72	door	1	1
228.0	78	228.0	95	door	1	1
49.0	89	49.0	114	door	1	1
79.0	90	79.0	127	door	1	1
147	115.0	171	115.0	door	1	1
228.0	114	228.0	141	door	1	1
203	115.0	231	115.0	door	1	1
83	131	142	146	entrance	1	1
203	118	228	146	washing_basin	1	1
